timestamp_iso,epoch_s,label,target,target_type,status,latency_ms,error
2026-05-18T18:54:37.214259-05:00,1779148477.214245,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:37.237520-05:00,1779148477.237517,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:37.250124-05:00,1779148477.250118,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:37.316858-05:00,1779148477.316832,dns_hostname,google.com,icmp_dns,OK,,
2026-05-18T18:54:38.223886-05:00,1779148478.223876,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:38.250710-05:00,1779148478.250704,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:38.266438-05:00,1779148478.266432,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:39.239631-05:00,1779148479.239619,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:39.278384-05:00,1779148479.278372,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:39.299490-05:00,1779148479.299477,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:40.227423-05:00,1779148480.227412,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:40.253665-05:00,1779148480.253655,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:40.268891-05:00,1779148480.268885,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:41.225895-05:00,1779148481.225885,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:41.257291-05:00,1779148481.257281,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:41.275042-05:00,1779148481.275032,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:42.257773-05:00,1779148482.257759,dns_hostname,google.com,icmp_dns,OK,,
2026-05-18T18:54:42.325235-05:00,1779148482.325225,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:42.355374-05:00,1779148482.355363,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:42.373109-05:00,1779148482.373095,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:43.325836-05:00,1779148483.325825,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:43.351941-05:00,1779148483.351932,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:43.369925-05:00,1779148483.369911,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:44.335710-05:00,1779148484.335699,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:44.365063-05:00,1779148484.365052,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:44.382717-05:00,1779148484.382681,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:45.343097-05:00,1779148485.343086,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:45.370830-05:00,1779148485.370825,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:45.388353-05:00,1779148485.388349,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:46.342700-05:00,1779148486.342687,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:46.372207-05:00,1779148486.372199,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:46.390074-05:00,1779148486.390060,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:47.259228-05:00,1779148487.259213,dns_hostname,google.com,icmp_dns,OK,,
